accX,accY,accZ
-0.07720947,-1.5849457,9.476837
-0.07241820999999998,-1.5993195,9.491196
-0.08200073,-1.6280518,9.424164
-0.06285095,-1.5897369,9.443314
-0.07720947,-1.6328278,9.314026
-0.029327393,-1.6519928,9.290085
-0.058059692,-1.6424103,9.366699
-0.06285095,-1.6567688,9.352341
-0.038909912,-1.5993195,9.280502
-0.010177612,-1.6041107,9.151230000000002
0.037704468,-1.66156,9.309235
-0.014968872,-1.6328278,9.3284
-0.043685913,-1.6328278,9.342758
-0.07241820999999998,-1.6232605,9.342758
-0.043685913,-1.5945282,9.275726
-0.014968872,-1.5849457,9.299667
-0.053268433,-1.5705872,9.323608
-0.06762695000000002,-1.5897369,9.299667
-0.038909912,-1.5993195,9.280502
-0.07241820999999998,-1.5657959,9.337967
-0.07720947,-1.5753784,9.290085
-0.11073303,-1.5945282,9.385849
-0.07720947,-1.5897369,9.280502
-0.10115051000000001,-1.5514374,9.275726
-0.08200073,-1.5179138,9.280502
-0.07241820999999998,-1.5753784,9.270935
-0.06285095,-1.5131226,9.3284
-0.058059692,-1.4891815,9.318817
-0.048477173,-1.5466461,9.318817
-0.048477173,-1.50354,9.352341
-0.038909912,-1.5753784,9.357117
-0.0005950928,-1.5514374,9.352341
-0.07241820999999998,-1.5945282,9.414581
-0.048477173,-1.5849457,9.419373
-0.06285095,-1.5562134,9.385849
-0.058059692,-1.6088867,9.405014
-0.0005950928,-1.6280518,9.361908
-0.038909912,-1.6280518,9.3284
-0.029327393,-1.6184692,9.376282
-0.0053863525,-1.6567688,9.337967
-0.034118652,-1.6663513,9.294876
-0.019744873,-1.613678,9.333176000000002
-0.0053863525,-1.6711426,9.285294
-0.0005950928,-1.6855011,9.366699
-0.07720947,-1.6280518,9.309235
-0.029327393,-1.6711426,9.294876
-0.053268433,-1.5610046,9.294876
-0.043685913,-1.6041107,9.261353
-0.034118652,-1.637619,9.290085
-0.019744873,-1.5801544,9.357117
-0.053268433,-1.6088867,9.314026
-0.08679199,-1.6424103,9.304459
-0.010177612,-1.5945282,9.314026
-0.0005950928,-1.5610046,9.3284
-0.024536133,-1.613678,9.342758
-0.029327393,-1.5705872,9.294876
-0.010177612,-1.5753784,9.270935
-0.048477173,-1.6232605,9.352341
-0.010177612,-1.5993195,9.251785000000002
-0.019744873,-1.5897369,9.251785000000002
-0.029327393,-1.5849457,9.280502
-0.11073303,-1.6184692,9.266144
-0.034118652,-1.5897369,9.2374115
-0.06762695000000002,-1.5753784,9.304459
-0.029327393,-1.5897369,9.285294
-0.024536133,-1.5897369,9.242203000000002
-0.043685913,-1.613678,9.246994
-0.058059692,-1.6328278,9.309235
-0.029327393,-1.5466461,9.285294
-0.06762695000000002,-1.5657959,9.256561
-0.09158325,-1.5849457,9.333176000000002
-0.010177612,-1.6041107,9.203888
-0.058059692,-1.5418549,9.347549
-0.048477173,-1.5753784,9.270935
-0.053268433,-1.6184692,9.385849
-0.024536133,-1.5705872,9.333176000000002
-0.07241820999999998,-1.6088867,9.223053
-0.043685913,-1.6280518,9.3714905
-0.043685913,-1.6184692,9.337967
-0.06285095,-1.6280518,9.40979
-0.048477173,-1.6328278,9.342758
-0.034118652,-1.6232605,9.3954315
-0.07720947,-1.6088867,9.357117
-0.0053863525,-1.6472015,9.333176000000002
-0.024536133,-1.6232605,9.299667
-0.034118652,-1.6424103,9.314026
0.008987427,-1.6424103,9.357117
0.018554688,-1.6232605,9.323608
-0.0005950928,-1.6472015,9.294876
0.023345947,-1.6328278,9.318817
0.004196167,-1.6088867,9.385849
-0.010177612,-1.613678,9.280502
-0.038909912,-1.6041107,9.280502
0.023345947,-1.6184692,9.280502
-0.024536133,-1.6041107,9.261353
-0.019744873,-1.6041107,9.333176000000002
-0.043685913,-1.5849457,9.347549
-0.010177612,-1.6184692,9.352341
-0.0005950928,-1.5945282,9.304459
-0.010177612,-1.6088867,9.304459
-0.010177612,-1.5849457,9.294876
-0.06762695000000002,-1.6041107,9.275726
0.008987427,-1.5945282,9.314026
-0.0053863525,-1.613678,9.294876
-0.014968872,-1.5945282,9.251785000000002
0.013763428,-1.6041107,9.251785000000002
-0.024536133,-1.5945282,9.309235
-0.024536133,-1.6184692,9.275726
-0.019744873,-1.6041107,9.337967
-0.053268433,-1.5993195,9.361908
-0.014968872,-1.6472015,9.385849
-0.014968872,-1.637619,9.3284
0.004196167,-1.5993195,9.342758
-0.0005950928,-1.6472015,9.352341
-0.06285095,-1.6041107,9.352341
0.018554688,-1.5849457,9.3284
-0.0053863525,-1.6424103,9.381073
-0.053268433,-1.6184692,9.337967
-0.014968872,-1.6280518,9.3714905
-0.0005950928,-1.5897369,9.361908
-0.043685913,-1.6280518,9.419373
-0.010177612,-1.637619,9.405014
-0.024536133,-1.6711426,9.347549
-0.058059692,-1.637619,9.270935
0.023345947,-1.637619,9.299667
-0.024536133,-1.6280518,9.314026
0.023345947,-1.613678,9.376282
-0.0053863525,-1.6328278,9.3284
-0.034118652,-1.613678,9.275726
0.032928467,-1.5801544,9.299667
0.037704468,-1.6184692,9.309235
0.013763428,-1.6280518,9.318817
0.013763428,-1.5897369,9.347549
-0.010177612,-1.6472015,9.294876
0.008987427,-1.5897369,9.333176000000002
-0.034118652,-1.5897369,9.285294
-0.019744873,-1.5801544,9.242203000000002
-0.038909912,-1.5705872,9.304459
-0.019744873,-1.5945282,9.333176000000002
-0.08200073,-1.5849457,9.433731
-0.0053863525,-1.5945282,9.414581
-0.038909912,-1.5274963,9.347549
-0.038909912,-1.5945282,9.314026
-0.034118652,-1.6232605,9.304459
-0.053268433,-1.637619,9.294876
-0.07241820999999998,-1.5753784,9.3954315
-0.043685913,-1.6328278,9.462463
-0.048477173,-1.6567688,9.337967
-0.038909912,-1.7142334,9.256561
-0.010177612,-1.6184692,9.199112
0.004196167,-1.637619,9.165588
0.008987427,-1.6472015,9.218262
0.06643677,-1.6280518,9.290085
0.06643677,-1.6184692,9.323608
0.09516907,-1.5993195,9.376282
0.004196167,-1.6663513,9.381073
0.032928467,-1.6663513,9.23262
-0.058059692,-1.6663513,9.218262
-0.13467407,-1.637619,9.2374115
-0.10115051000000001,-1.66156,9.457687000000002
-0.07241820999999998,-1.5897369,9.577393
-0.043685913,-1.6519928,9.610916
