accX,accY,accZ
1.4359131,-1.7429657,9.352341
1.4263306,-1.747757,9.3284
1.4454803,-1.7333832,9.304459
1.4790039,-1.7860565,9.179947
1.4454803,-1.7525482,9.218262
1.4167633,-1.7381744,9.199112
1.4598541,-1.771698,9.1033325
1.388031,-1.8099976,9.112915
1.4023895,-1.8004303,9.203888
1.388031,-1.7238159,9.194321
1.3832397,-1.8195801,9.17038
1.368866,-1.795639,9.17038
1.388031,-1.7812805,9.122498
1.3736572,-1.8195801,9.165588
1.411972,-1.7812805,9.141647
1.4646454,-1.7812805,9.160797
1.4502716,-1.7812805,9.223053
1.411972,-1.7669067,9.156006
1.4407043,-1.7908478,9.141647
1.411972,-1.7860565,9.194321
1.4071808,-1.7333832,9.117706
1.3305664,-1.7573395,9.179947
1.3066254,-1.7381744,9.17038
1.3975983,-1.7381744,9.136856
1.4023895,-1.6711426,9.21347
1.4167633,-1.7046661,9.136856
1.36409,-1.7669067,9.23262
1.4167633,-1.7381744,9.23262
1.4215393,-1.771698,9.223053
1.3975983,-1.7238159,9.270935
1.4167633,-1.7381744,9.227844
1.4407043,-1.7764893,9.227844
1.4359131,-1.7621155,9.17038
1.4215393,-1.7190247,9.218262
1.411972,-1.7860565,9.156006
1.3784485,-1.7573395,9.093765
1.4598541,-1.7573395,9.218262
1.3832397,-1.7286072,9.108124
1.3736572,-1.7525482,9.156006
1.4598541,-1.771698,9.108124
1.4215393,-1.7621155,9.122498
1.3736572,-1.7525482,9.208679
1.388031,-1.7764893,9.165588
1.4071808,-1.747757,9.175171
1.388031,-1.8004303,9.165588
1.4598541,-1.7812805,9.141647
1.392807,-1.8052216,9.21347
1.4263306,-1.8147888,9.199112
1.4167633,-1.7764893,9.122498
1.3975983,-1.7333832,9.218262
1.3784485,-1.7621155,9.179947
1.3975983,-1.7573395,9.146439
1.4407043,-1.7333832,9.23262
1.388031,-1.7142334,9.2374115
1.4023895,-1.7190247,9.17038
1.3975983,-1.7238159,9.23262
1.4263306,-1.7429657,9.194321
1.4359131,-1.7333832,9.270935
1.4167633,-1.7812805,9.203888
1.4167633,-1.7238159,9.165588
1.4071808,-1.7812805,9.156006
1.3832397,-1.7381744,9.156006
1.388031,-1.7669067,9.146439
1.388031,-1.7286072,9.045883
1.3592987,-1.7381744,9.141647
1.36409,-1.7573395,9.093765
1.4167633,-1.7238159,9.223053
1.3736572,-1.7812805,9.175171
1.392807,-1.7238159,9.199112
1.3975983,-1.7333832,9.242203000000002
1.4071808,-1.8004303,9.141647
1.4550629,-1.747757,9.270935
1.4407043,-1.7860565,9.199112
1.4215393,-1.7812805,9.194321
1.411972,-1.747757,9.112915
1.4359131,-1.7860565,9.227844
1.4742126,-1.7764893,9.21347
1.4550629,-1.8004303,9.23262
1.4454803,-1.7333832,9.2374115
1.4263306,-1.8195801,9.160797
1.4933777,-1.7525482,9.251785000000002
1.4407043,-1.771698,9.194321
1.4454803,-1.7669067,9.189529
1.4263306,-1.747757,9.160797
1.4263306,-1.7621155,9.146439
1.392807,-1.7908478,9.218262
1.411972,-1.747757,9.199112
1.4359131,-1.7429657,9.165588
1.3975983,-1.7525482,9.17038
1.4071808,-1.7908478,9.21347
1.4167633,-1.7669067,9.223053
1.4311218,-1.747757,9.146439
1.3832397,-1.7573395,9.21347
1.4023895,-1.747757,9.203888
1.4407043,-1.7764893,9.266144
1.4023895,-1.7142334,9.227844
1.4407043,-1.7429657,9.179947
1.4454803,-1.7429657,9.270935
1.4263306,-1.747757,9.21347
1.388031,-1.771698,9.175171
1.3975983,-1.7764893,9.194321
1.411972,-1.747757,9.208679
1.4071808,-1.7812805,9.223053
1.4359131,-1.7381744,9.2374115
1.4263306,-1.747757,9.246994
1.3592987,-1.7381744,9.23262
1.388031,-1.7429657,9.17038
1.4215393,-1.7669067,9.309235
1.4502716,-1.747757,9.184738
1.4071808,-1.7381744,9.189529
1.411972,-1.7381744,9.227844
1.4311218,-1.7764893,9.208679
1.4023895,-1.747757,9.122498
1.392807,-1.7908478,9.179947
1.4502716,-1.7573395,9.261353
1.36409,-1.7764893,9.179947
1.392807,-1.795639,9.184738
1.3832397,-1.7764893,9.122498
1.392807,-1.8004303,9.136856
1.388031,-1.8147888,9.136856
1.3832397,-1.7621155,9.0746155
1.4071808,-1.7621155,9.088974
1.388031,-1.8243713,9.112915
1.3353577,-1.8052216,9.179947
1.3592987,-1.7812805,9.227844
1.3736572,-1.7429657,9.156006
1.4023895,-1.7381744,9.117706
1.388031,-1.7142334,9.156006
1.4502716,-1.7764893,9.069824
1.411972,-1.6711426,9.0793915
1.4407043,-1.771698,9.203888
1.4023895,-1.6950836,9.122498
1.4215393,-1.7238159,9.21347
1.4502716,-1.7190247,9.21347
1.3832397,-1.795639,9.242203000000002
1.3784485,-1.7333832,9.165588
1.4167633,-1.7142334,9.208679
1.4023895,-1.7812805,9.246994
1.392807,-1.7812805,9.251785000000002
1.4215393,-1.8004303,9.299667
1.4311218,-1.7908478,9.270935
1.4167633,-1.8099976,9.333176000000002
1.4742126,-1.8099976,9.194321
1.4454803,-1.7381744,9.175171
1.4311218,-1.795639,9.199112
1.4167633,-1.8052216,9.21347
1.4071808,-1.7525482,9.266144
1.4215393,-1.7381744,9.261353
1.4263306,-1.771698,9.242203000000002
1.4311218,-1.7621155,9.227844
1.4646454,-1.7286072,9.122498
1.4837952,-1.7621155,9.17038
1.4598541,-1.7573395,9.117706
1.5077362,-1.747757,9.256561
1.5173187,-1.795639,9.23262
1.4502716,-1.7669067,9.146439
1.5173187,-1.7573395,9.050659
1.4598541,-1.747757,9.132065
1.3832397,-1.7621155,9.112915
1.4215393,-1.7908478,9.132065
1.388031,-1.8052216,9.146439
1.3497162,-1.7669067,9.151230000000002
1.3592987,-1.8004303,9.175171
1.4167633,-1.7812805,9.050659
1.392807,-1.771698,9.084183
1.4359131,-1.7286072,9.084183
1.411972,-1.7429657,9.01236
1.4502716,-1.7142334,9.036301000000002
1.5077362,-1.6807251,9.084183
1.5220947,-1.6567688,9.050659
1.5220947,-1.6807251,9.041092
1.4933777,-1.6711426,9.036301000000002
1.4311218,-1.6280518,9.112915
1.5077362,-1.6280518,9.199112
1.4646454,-1.6232605,9.199112
1.3975983,-1.6232605,9.290085
1.4407043,-1.6567688,9.294876
1.388031,-1.66156,9.290085
1.411972,-1.6711426,9.299667
1.368866,-1.7142334,9.285294
1.392807,-1.7046661,9.357117
1.36409,-1.7381744,9.337967
1.4359131,-1.7333832,9.246994
1.4359131,-1.771698,9.256561
1.4407043,-1.7860565,9.208679
1.4646454,-1.771698,9.227844
1.4646454,-1.795639,9.184738
1.4885864,-1.7669067,9.17038
1.4598541,-1.7812805,9.17038
1.4790039,-1.8147888,9.141647
1.4167633,-1.8099976,9.203888
1.4646454,-1.7908478,9.218262
1.4454803,-1.8435211,9.218262
1.4598541,-1.8722534,9.203888
1.4215393,-1.8291626,9.179947
1.388031,-1.8578949,9.21347
1.4311218,-1.8578949,9.270935
1.4263306,-1.8674622,9.270935
1.4167633,-1.9009857,9.23262
1.4071808,-1.8483124,9.251785000000002
1.3545074,-1.9249268,9.246994
1.3353577,-1.9105682,9.285294
1.3545074,-1.7860565,9.309235
1.3018341000000002,-1.8291626,9.246994
1.3784485,-1.8004303,9.309235
1.3832397,-1.7381744,9.256561
1.3592987,-1.747757,9.290085
1.4454803,-1.6902924,9.21347
1.4694214,-1.6950836,9.266144
1.4885864,-1.7094421,9.156006
1.5364685,-1.7381744,9.0793915
1.5460358,-1.6807251,9.0746155
1.5891418,-1.6855011,9.060242
1.5460358,-1.6950836,9.036301000000002
1.6370239,-1.6855011,9.036301000000002
1.6130829,-1.6472015,9.1033325
1.6178741,-1.7238159,9.088974
1.6178741,-1.66156,9.132065
1.6082916,-1.7238159,9.031509
1.6226501,-1.6998749,8.993209999999998
1.5891418,-1.771698,9.194321
1.550827,-1.7429657,9.112915
1.502945,-1.7381744,9.199112
1.5173187,-1.7429657,9.309235
1.4933777,-1.7381744,9.2374115
1.4837952,-1.7669067,9.17038
1.4694214,-1.7621155,9.156006
1.4981537,-1.7525482,9.208679
1.5077362,-1.7621155,9.246994
1.4885864,-1.7812805,9.184738
1.526886,-1.7764893,9.242203000000002
1.502945,-1.7860565,9.17038
1.5412598,-1.7908478,9.136856
1.4646454,-1.7525482,9.060242
1.5125275,-1.7621155,9.007568
1.4837952,-1.8052216,8.993209999999998
1.4742126,-1.795639,9.1033325
1.4933777,-1.7669067,8.983627
1.4598541,-1.7860565,9.0746155
1.5077362,-1.7764893,9.179947
1.4359131,-1.771698,9.165588
1.4550629,-1.8004303,9.223053
1.4311218,-1.7621155,9.223053
1.4646454,-1.8339539,9.175171
1.4790039,-1.7764893,9.199112
1.4933777,-1.7669067,9.203888
1.4837952,-1.7573395,9.199112
1.4837952,-1.8052216,9.165588
1.5364685,-1.7669067,9.189529
1.4837952,-1.795639,9.136856
1.5125275,-1.7573395,9.270935
1.5364685,-1.7621155,9.117706
1.502945,-1.7860565,9.208679
1.4981537,-1.7908478,9.2374115
1.5125275,-1.7669067,9.2374115
1.5604095,-1.771698,9.21347
1.5125275,-1.7286072,9.156006
1.5125275,-1.7860565,9.165588
1.4933777,-1.7333832,9.146439
1.526886,-1.8004303,9.270935
1.4071808,-1.8531036,9.227844
1.5173187,-1.7764893,9.17038
1.4646454,-1.8195801,9.160797
1.4598541,-1.8195801,9.218262
1.4598541,-1.7812805,9.156006
1.4502716,-1.8770447,9.184738
1.4215393,-1.8387299,9.1033325
1.4598541,-1.8147888,9.141647
1.4454803,-1.8626709,9.108124
1.4359131,-1.8339539,9.156006
1.4933777,-1.8626709,9.117706
1.4837952,-1.8387299,9.151230000000002
1.4550629,-1.8243713,9.189529
1.4502716,-1.8531036,9.223053
1.4454803,-1.8387299,9.160797
1.4407043,-1.8483124,9.165588
1.4694214,-1.8195801,9.136856
1.5077362,-1.8339539,9.1033325
1.4311218,-1.7908478,9.17038
1.4550629,-1.771698,9.156006
1.4933777,-1.795639,9.17038
1.5173187,-1.7860565,9.136856
1.4502716,-1.8004303,9.141647
