accX,accY,accZ
0.27592468,-0.89123535,9.797058
0.27592468,-0.9055939,9.701294
0.24719238,-0.8960266,9.792267
0.2615509,-0.8577118,9.820999
0.2902832,-0.9008026,9.830582
0.2040863,-0.8768616,9.797058
0.21846008,-0.8960266,9.816208
0.18493652,-0.85292053,9.840149
0.25198364,-0.8960266,9.820999
0.20887756,-0.8577118,9.830582
0.26634216,-0.84814453,9.835373
0.29507446,-0.8433532999999999,9.773117
0.22802734,-0.8768616,9.730026
0.25675964,-0.8720856,9.706085
0.29507446,-0.9008026,9.662979000000002
0.27113342,-0.93911743,9.619888
0.27113342,-0.99658203,9.66777
0.2615509,-1.0253143,9.610306
0.30943298,-1.0205231,9.557648
0.2615509,-1.0492554,9.605530000000002
0.25198364,-1.0636139,9.643829
0.24240112,-1.159378,9.595947
0.2615509,-1.0971375,9.648621
0.27113342,-1.1019287,9.595947
0.30464172,-1.0588226,9.677353
0.2615509,-1.1210785,9.634262
0.21846008,-1.1019287,9.639038
0.23760986,-1.1019287,9.605530000000002
0.26634216,-1.111496,9.677353
0.27113342,-1.1402283,9.629471
0.25198364,-1.1067047,9.591156
0.29507446,-1.0779877000000002,9.677353
0.30464172,-1.0348816,9.68692
0.28549194,-1.0253143,9.691711
0.2902832,-1.0061493,9.806641
0.2902832,-0.9917908,9.768326
0.27113342,-1.0253143,9.777908
0.35731506,-1.0157318,9.7348175
0.30943298,-0.99658203,9.753967
0.28549194,-1.0061493,9.677353
0.30943298,-1.0109406,9.696503
0.36210632,-1.0300903,9.715652
0.29986572,-0.9630585,9.682144
0.30464172,-0.9343262000000002,9.792267
0.30943298,-1.0396729,9.677353
0.24240112,-0.91996765,9.792267
0.27592468,-1.0013733,9.792267
0.27592468,-1.0205231,9.84494
0.2615509,-1.0061493,9.801849
0.23760986,-0.9917908,9.749176
0.28070068,-1.0157318,9.816208
0.27113342,-0.99658203,9.725235
0.29507446,-0.9439087,9.777908
0.36210632,-0.98220825,9.720444
0.35253906,-1.0300903,9.706085
0.35253906,-1.0061493,9.672562
0.32380676,-1.0253143,9.768326
0.38604736,-1.0253143,9.658203
0.30464172,-1.0300903,9.82579
0.3477478,-1.0300903,9.677353
0.33337402,-1.0253143,9.706085
0.30464172,-1.0588226,9.662979000000002
0.32380676,-1.0636139,9.696503
0.30464172,-1.0444641,9.615097
0.26634216,-1.0157318,9.806641
0.24719238,-1.0253143,9.68692
0.33337402,-1.0253143,9.797058
0.32859802,-1.0300903,9.658203
0.33816528,-1.0300903,9.610306
0.2902832,-0.98220825,9.600739
0.33337402,-1.0253143,9.68692
0.30464172,-1.0492554,9.5767975
0.30943298,-1.0444641,9.639038
0.27113342,-1.0731964,9.619888
0.28070068,-1.0061493,9.710876
0.27592468,-1.0636139,9.682144
0.27113342,-1.0492554,9.653412
0.27592468,-1.0875549000000002,9.691711
0.29507446,-1.0923462,9.66777
0.26634216,-0.9917908,9.639038
