accX,accY,accZ
-0.11373901,9.827591,17647294212
-0.11853027,9.746185,17650209212
-0.09938049,9.76535,17654258899
-0.085006714,9.794083,17658796608
-0.09938049,9.722244,17663041035
-0.104156494,9.798859,17668525254
-0.1328888,9.707886,17671771556
-0.11853027,9.827591,17676650618
-0.09938049,9.865905999999999,17680634160
-0.12332153,9.813232000000001,17685339056
-0.11853027,9.712677000000001,17689563274
-0.11373901,9.712677000000001,17693900774
-0.104156494,9.80365,17698662285
-0.12809753,9.760558999999999,17702953274
-0.12332153,9.832382,17707236087
-0.10894775400000001,9.779709,17711773170
-0.12809753,9.794083,17716124472
-0.12809753,9.76535,17720610931
-0.15682983,9.76535,17724931399
-0.12332153,9.808441,17729334941
-0.11853027,9.851532,17733819889
-0.07543945,9.846756,17738222233
-0.1328888,9.789291,17742730254
-0.11853027,9.731827000000001,17747123795
-0.1328888,9.76535,17751364368
-0.1328888,9.80365,17755778379
-0.12809753,9.779709,17760373170
-0.10894775400000001,9.789291,17765859629
-0.12809753,9.779709,17769477545
-0.09938049,9.794083,17775577806
-0.1328888,9.746185,17777899629
-0.14247131,9.76535,17783189316
-0.15205383,9.827591,17786816816
-0.1328888,9.760558999999999,17791243691
-0.10894775400000001,9.80365,17795442649
-0.12809753,9.851532,17799731087
-0.11853027,9.774918,17804204733
-0.07064819,9.717467999999998,17808730410
-0.12809753,9.808441,17812985149
-0.11853027,9.798859,17817515462
-0.17599487,9.885056,17821736556
-0.11373901,9.827591,17826393483
-0.09458923,9.798859,17831458066
-0.12332153,9.870697,17835924837
-0.08979797,9.880264,17840277389
-0.051483154,9.750977,17844778899
-0.06585693,9.808441,17849020618
-0.12809753,9.80365,17853586556
-0.09938049,9.798859,17858354733
-0.11373901,9.808441,17862608326
-0.10894775400000001,9.808441,17868856816
-0.10894775400000001,9.674362,17871485358
-0.09938049,9.794083,17876287962
-0.12332153,9.841965,17880788326
-0.09938049,9.865905999999999,17887582806
-0.11373901,9.832382,17889530618
-0.08979797,9.827591,17895568014
-0.11373901,9.808441,17898288222
-0.12809753,9.7845,17901888587
-0.1328888,9.770142,17906190410
-0.1328888,9.837173,17910826764
-0.104156494,9.746185,17922403326
-0.10894775400000001,9.760558999999999,17925065826
-0.085006714,9.779709,17925152441
-0.12809753,9.856323,17928362701
-0.056274414,9.885056,17932583118
-0.12332153,9.760558999999999,17937340774
-0.09458923,9.794083,17941567076
-0.15682983,9.770142,17947147649
-0.12332153,9.818024000000001,17951095618
-0.10894775400000001,9.865905999999999,17955174056
-0.12332153,9.760558999999999,17959999003
-0.11373901,9.813232000000001,17964422910
-0.17120361,9.827591,17968539733
-0.08979797,9.875473,17973844316
-0.104156494,9.779709,17977459681
-0.104156494,9.813232000000001,17981996451
-0.12809753,9.731827000000001,17986372806
-0.12809753,9.779709,17991055149
-0.12332153,9.755768,17996093691
-0.11853027,9.750977,17999312649
-0.18077087,9.789291,18005206660
-0.07543945,9.818024000000001,18007975149
-0.080215454,9.846756,18012211868
-0.11853027,9.832382,18017192389
-0.11853027,9.794083,18021307649
-0.08979797,9.851532,18026158691
-0.09938049,9.7845,18030129316
-0.11853027,9.818024000000001,18035040149
-0.104156494,9.779709,18039047753
-0.080215454,9.779709,18043700983
-0.11853027,9.679153,18047713274
-0.14247131,9.808441,18051984316
-0.10894775400000001,9.755768,18055884212
-0.09458923,9.80365,18060226243
-0.104156494,9.774918,18064624785
-0.08979797,9.798859,18069087753
-0.09938049,9.837173,18073633170
-0.17599487,9.746185,18077687597
-0.17120361,9.880264,18082275722
-0.14247131,9.774918,18088412597
-0.085006714,9.8228,18091109785
-0.11853027,9.770142,18097249785
-0.14247131,9.789291,18100587441
-0.09458923,9.779709,18104391712
-0.09938049,9.7270355,18109204837
-0.10894775400000001,9.80365,18113069941
-0.12809753,9.851532,18117801035
-0.1328888,9.832382,18122223118
-0.11853027,9.741408999999999,18126260826
-0.14247131,9.837173,18131013483
-0.08979797,9.770142,18134790358
-0.1328888,9.798859,18139428118
-0.12332153,9.779709,18143604680
-0.11853027,9.875473,18148076347
-0.10894775400000001,9.8228,18152398430
-0.15682983,9.851532,18156844785
-0.06585693,9.741408999999999,18161382597
-0.09458923,9.856323,18165908222
-0.10894775400000001,9.770142,18170117285
-0.09458923,9.846756,18174951972
-0.12332153,9.760558999999999,18178870930
-0.07064819,9.794083,18184800514
-0.1328888,9.794083,18188187024
-0.1328888,9.80365,18192794628
-0.1328888,9.779709,18196519680
-0.09458923,9.770142,18201068847
-0.080215454,9.774918,18205374212
-0.11373901,9.755768,18209785097
-0.085006714,9.808441,18214178899
-0.12332153,9.808441,18218443587
-0.1616211,9.808441,18222974055
-0.14247131,9.8228,18227333639
-0.1616211,9.808441,18231680097
-0.15682983,9.707886,18237371660
-0.08979797,9.846756,18242034420
-0.13768005,9.794083,18245949368
-0.104156494,9.808441,18250558014
-0.104156494,9.832382,18255007024
-0.11853027,9.712677000000001,18258768951
-0.09458923,9.8228,18263622232
-0.13768005,9.8228,18269709837
